NG,0.184,0.181,0.178,0.108,0.102,0.098,0.095,0.093,0.09,0.085,0.015,0.005,0.003,0.003,0.07,0.006,0.004,0.003,0.002,0.003,0.005,0.07,0.01,0.005
iNG,0.184,0.181,0.178,0.108,0.102,0.098,0.095,0.093,0.09,0.085,0.015,0.005,0.003,0.003,0.07,0.006,0.004,0.003,0.002,0.003,0.005,0.07,0.01,0.005
NN,0.184,0.181,0.178,0.108,0.102,0.098,0.095,0.093,0.09,0.085,0.015,0.005,0.003,0.003,0.07,0.006,0.004,0.003,0.002,0.003,0.005,0.07,0.01,0.005
NP,0.184,0.181,0.178,0.108,0.102,0.098,0.095,0.093,0.09,0.085,0.015,0.005,0.003,0.003,0.07,0.006,0.004,0.003,0.002,0.003,0.005,0.07,0.01,0.005
HH,0.184,0.181,0.178,0.108,0.102,0.098,0.095,0.093,0.09,0.085,0.015,0.005,0.003,0.003,0.07,0.006,0.004,0.003,0.002,0.003,0.005,0.07,0.01,0.005
CL,0.012,0.011,0.01,0.009,0.008,0.007,0.006,0.005,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
HO,0.179,0.177,0.174,0.104,0.094,0.091,0.089,0.087,0.085,0.08,0.02,0.01,0.002,0.003,0.07,0.01,0.003,0.002,0.002,0.002,0.005,0.06,0.01,0.01
MPX,0.179,0.177,0.174,0.104,0.094,0.091,0.089,0.087,0.085,0.08,0.02,0.01,0.002,0.003,0.07,0.01,0.003,0.002,0.002,0.002,0.005,0.06,0.01,0.01
RB,0.199,0.196,0.193,0.123,0.117,0.113,0.11,0.108,0.105,0.085,0.015,0.005,0.003,0.003,0.07,0.006,0.004,0.003,0.002,0.003,0.02,0.07,0.01,0.005
RBOB,0.199,0.196,0.193,0.123,0.117,0.113,0.11,0.108,0.105,0.085,0.015,0.005,0.003,0.003,0.07,0.006,0.004,0.003,0.002,0.003,0.02,0.07,0.01,0.005
RLX,0.199,0.196,0.193,0.123,0.117,0.113,0.11,0.108,0.105,0.085,0.015,0.005,0.003,0.003,0.07,0.006,0.004,0.003,0.002,0.003,0.02,0.07,0.01,0.005
PJM,0.19,0.188,0.186,0.116,0.112,0.11,0.107,0.105,0.075,0.072,0.012,0.002,0.002,0.002,0.07,0.004,0.002,0.003,0.002,0.03,0.003,0.06,0.01,0.002
PJM0,0.19,0.188,0.186,0.116,0.112,0.11,0.107,0.105,0.075,0.072,0.012,0.002,0.002,0.002,0.07,0.004,0.002,0.003,0.002,0.03,0.003,0.06,0.01,0.002
CIN,0.19,0.188,0.186,0.116,0.112,0.11,0.107,0.105,0.075,0.072,0.012,0.002,0.002,0.002,0.07,0.004,0.002,0.003,0.002,0.03,0.003,0.06,0.01,0.002
CINO,0.19,0.188,0.186,0.116,0.112,0.11,0.107,0.105,0.075,0.072,0.012,0.002,0.002,0.002,0.07,0.004,0.002,0.003,0.002,0.03,0.003,0.06,0.01,0.002
NI,0.19,0.188,0.186,0.116,0.112,0.11,0.107,0.105,0.075,0.072,0.012,0.002,0.002,0.002,0.07,0.004,0.002,0.003,0.002,0.03,0.003,0.06,0.01,0.002
NIO,0.195,0.193,0.19,0.12,0.114,0.11,0.107,0.105,0.075,0.072,0.012,0.002,0.002,0.003,0.07,0.006,0.004,0.003,0.002,0.03,0.003,0.06,0.01,0.002
ZC,0.179,0.177,0.174,0.104,0.094,0.091,0.089,0.087,0.085,0.08,0.02,0.01,0.002,0.003,0.07,0.01,0.003,0.002,0.002,0.002,0.005,0.06,0.01,0.01
ZM,0.179,0.177,0.174,0.104,0.094,0.091,0.089,0.087,0.085,0.08,0.02,0.01,0.002,0.003,0.07,0.01,0.003,0.002,0.002,0.002,0.005,0.06,0.01,0.01
ZW,0.179,0.177,0.174,0.104,0.094,0.091,0.089,0.087,0.085,0.08,0.02,0.01,0.002,0.003,0.07,0.01,0.003,0.002,0.002,0.002,0.005,0.06,0.01,0.01
ZS,0.179,0.177,0.174,0.104,0.094,0.091,0.089,0.087,0.085,0.08,0.02,0.01,0.002,0.003,0.07,0.01,0.003,0.002,0.002,0.002,0.005,0.06,0.01,0.01
KCW,0.179,0.177,0.174,0.104,0.094,0.091,0.089,0.087,0.085,0.08,0.02,0.01,0.002,0.003,0.07,0.01,0.003,0.002,0.002,0.002,0.005,0.06,0.01,0.01
ES,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
ZL,0.179,0.177,0.174,0.104,0.094,0.091,0.089,0.087,0.085,0.08,0.02,0.01,0.002,0.003,0.07,0.01,0.003,0.002,0.002,0.002,0.005,0.06,0.01,0.01
