symbol,contractDescription,exchange,times,sizeDescription,monthsAllowed,ticValue,pointValue,notionalContractSize,minOrderTick,notionalTickSize,validTypes,underlyingSymbol,spanSymbol
BO,Soybean Oil (P),CBOT,9:30a.m. - 1:15p.m. CST,60000 lbs,FHKNQUVZ,0.0001 cent per lb. (6 per contract),60000,60000,0.0001,6,FUT;FOP,BO,7
C,Corn (P),CBOT,9:30a.m. - 1:15p.m. CST,5000 bu,HKNUZ,1/4 cent per bu. (12.50 per contract),50,5000,0.0025,12.5,FUT;FOP,C,C
DJ,DJIA,CBOT,7:20a.m. - 3:15p.m. CST,10 times Dow Jones,HMUZ,1 pt. (10.00 per contract),10,10,1,10,FUT;FOP,DJ,11
FF,30-Day Fed Funds (P),CBOT,5:30p.m. - 4:00p.m. CST,5000000,FGHJKMNQUVXZ,Increments of 0.00005 percent of 5 million on a 30-day basis in the spot month only (20.835) and 0.0001 percent of 5 million on a 30-day basis in all other contract months (41.67),4167,5000000,0.0001,500,FUT;FOP,FF,41
FV,5-Year T-Note (P),CBOT,7:20a.m. - 2:00p.m. CST,100000,HMUZ,One quarter of 1/32 of a point (7.8125 per contract) rounded up to the nearest cent per contract; par is on the basis of 100 points,1000,100000,0.000078125,7.8125,FUT;FOP,FV,25
NI,10-Year Swaps (P),CBOT,7:20a.m. - 2:00p.m. CST,100000,HMUZ,One half of 1/32 of a point (15.625 per contract) rounded up to the nearest cent per contract; par is on the basis of 100 points,1000,100000,0.00015625,15.625,FUT;FOP,NI,NI
NJ,5-Year Swaps (P),CBOT,7:20a.m. - 2:00p.m. CST,100000,HMUZ,One half of 1/32 of a point (15.625 per contract) rounded up to the nearest cent per contract; par is on the basis of 100 points,1000,5000,0.0025,12.5,FUT;FOP,NJ,NJ
O,Oats (P),CBOT,9:30a.m. - 1:15p.m. CST,5000 bu,HKNUZ,1/4 cent per bu. (12.50 per contract),50,5000,0.0025,12.5,FUT;FOP,O,O
RR,Rough Rice (P),CBOT,9:30a.m. - 1:15p.m. CST,2000 cwt,FHKNUX,1/2 cent per cwt. (10 per contract),2000,2000,0.005,10,FUT;FOP,RR,14
S,Soybeans (P),CBOT,9:30a.m. - 1:15p.m. CST,5000 bu,FHKNQUX,1/4 cent per bu. (12.50 per contract),50,5000,0.0025,12.5,FUT;FOP,S,S
SA,5-Year Swaps,CBOT,5:30p.m. - 4:00p.m. CST,100000,HMUZ,One half of 1/32 of a point (15.625 per contract) rounded up to the nearest cent per contract; par is on the basis of 100 points,1000,5000,0.0025,12.5,FUT;FOP,SA,NG
SM,Soybean Meal (P),CBOT,9:30a.m. - 1:15p.m. CST,100 tons (2000 lbs per ton),FHKNQUVZ,10 cents per ton (10 per contract),100,100,0.1,10,FUT;FOP,SM,6
SR,10-Year Swaps,CBOT,5:30p.m. - 4:00p.m. CST,100000,HMUZ,One half of 1/32 of a point (15.625 per contract) rounded up to the nearest cent per contract; par is on the basis of 100 points,1000,100000,0.00015625,15.625,FUT;FOP,SR,66
TU,2-Year T-Note (P),CBOT,7:20a.m. - 2:00p.m. CST,200000,HMUZ,One quarter of 1/32 of a point (7.8125 per contract) rounded up to the nearest cent per contract; par is on the basis of 100 points,2000,200000,0.000078125,15.625,FUT;FOP,TU,26
TY,10-Year T-Note (P),CBOT,7:20a.m. - 2:00p.m. CST,100000,HMUZ,One half of 1/32 of a point (15.625 per contract) rounded up to the nearest cent per contract; par is on the basis of 100 points,1000,100000,0.00015625,15.625,FUT;FOP,TY,21
UD,Ultra T-Bond,CBOT,5:30p.m. - 4:00p.m. CST,100000,HMUZ,32nds of a point (31.25 per contract) rounded up to the nearest cent per contract; par is on the basis of 100 points,1000,100000,0.0003125,31.25,FUT;FOP,UD,UD
UL,Ultra T-Bond (P),CBOT,7:20a.m. - 2:00p.m. CST,100000,HMUZ,32nds of a point (31.25 per contract) rounded up to the nearest cent per contract; par is on the basis of 100 points,1000,100000,0.0003125,31.25,FUT;FOP,UL,UBE
US,T-Bond (P),CBOT,7:20a.m. - 2:00p.m. CST,100000,HMUZ,32nds of a point (31.25 per contract) rounded up to the nearest cent per contract; par is on the basis of 100 points,1000,100000,0.0003125,31.25,FUT;FOP,US,17
W,Wheat (P),CBOT,9:30a.m. - 1:15p.m. CST,5000 bu,HKNUZ,1/4 cent per bu. (12.50 per contract),50,5000,0.0025,12.5,FUT;FOP,W,W
ZB,T-Bond,ECBOT,5:30p.m. - 4:00p.m. CST,100000,HMUZ,32nds of a point (31.25 per contract) rounded up to the nearest cent per contract; par is on the basis of 100 points,1000,1000,0.03125,31.25,FUT;FOP,ZB,17
OZB,T-Bond,ECBOT,5:30p.m. - 4:00p.m. CST,100000,HMUZ,32nds of a point (31.25 per contract) rounded up to the nearest cent per contract; par is on the basis of 100 points,1000,1000,0.03125,31.25,FOP,ZB,17
ZC,Corn,ECBOT,6:00p.m. - 7:15a.m. and 9:30a.m. - 1:15p.m. CST,5000 bu,HKNUZ,1/4 cent per bu. (12.50 per contract),50,5000,0.0025,12.5,FUT;FOP,ZC,C
OZC,Corn,ECBOT,6:00p.m. - 7:15a.m. and 9:30a.m. - 1:15p.m. CST,5000 bu,HKNUZ,1/4 cent per bu. (12.50 per contract),50,5000,0.0025,12.5,FOP,ZC,C
ZD,DJIA (E),ECBOT,Globex 3:30p.m. - 7:00a.m. 5:00p.m. - 7:00a.m. Mon-Thurs Sun 5:00p.m. - 7:00a.m. CST,10 times Dow Jones,HMUZ,1 pt. (10.00 per contract),10,10,1,10,FUT;FOP,ZD,11
OZD,DJIA (E),ECBOT,Globex 3:30p.m. - 7:00a.m. 5:00p.m. - 7:00a.m. Mon-Thurs Sun 5:00p.m. - 7:00a.m. CST,10 times Dow Jones,HMUZ,1 pt. (10.00 per contract),10,10,1,10,FOP,ZD,11
ZF,5-Year T-Note,ECBOT,5:30p.m. - 4:00p.m. CST,100000,HMUZ,One quarter of 1/32 of a point (7.8125 per contract) rounded up to the nearest cent per contract; par is on the basis of 100 points,1000,100000,0.000078125,7.8125,FUT;FOP,ZF,25
ZK,Ethanol Futures,ECBOT,6:00p.m. - 7:15a.m. and 9:30a.m. - 1:15p.m. CST,29000 U.S. gallons,FGHJKMNQUVXZ,1/10th cent per gal. (29.00 per contract),29000,29000,0.001,29,FUT;FOP,ZK,EH
ZL,Soybean Oil,ECBOT,6:00p.m. - 7:15a.m. and 9:30a.m. - 1:15p.m. CST,60000 lbs,FHKNQUVZ,0.0001 cent per lb. (6 per contract),600,600,0.01,6,FUT;FOP,ZL,7
OZL,Soybean Oil,ECBOT,6:00p.m. - 7:15a.m. and 9:30a.m. - 1:15p.m. CST,60000 lbs,FHKNQUVZ,0.0001 cent per lb. (6 per contract),600,600,0.01,6,FOP,ZL,7
ZM,Soybean Meal,ECBOT,6:00p.m. - 7:15a.m. and 9:30a.m. - 1:15p.m. CST,100 tons (2000 lbs per ton),FHKNQUVZ,10 cents per ton (10 per contract),100,100,0.1,10,FUT;FOP,ZM,6
OZM,Soybean Meal,ECBOT,6:00p.m. - 7:15a.m. and 9:30a.m. - 1:15p.m. CST,100 tons (2000 lbs per ton),FHKNQUVZ,10 cents per ton (10 per contract),100,100,0.1,10,FOP,ZM,6
ZN,10-Year T-Note,ECBOT,5:30p.m. - 4:00p.m. CST,100000,HMUZ,One half of 1/32 of a point (15.625 per contract) rounded up to the nearest cent per contract; par is on the basis of 100 points,1000,1000,0.015625,15.625,FUT;FOP,ZN,21
OZN,10-Year T-Note,ECBOT,5:30p.m. - 4:00p.m. CST,100000,HMUZ,One half of 1/32 of a point (15.625 per contract) rounded up to the nearest cent per contract; par is on the basis of 100 points,1000,1000,0.015625,15.625,FOP,ZN,21
